Search title,narwhal semitryp,,,,,,,,,,,
69,1,RefSeq_Narwhal,XP_029075009.1,421,39438,14,14,10,10,2.31,0.31,leucine-rich alpha-2-glycoprotein [Monodon monoceros]
38,1,RefSeq_Narwhal,XP_029098462.1,899,93006,28,28,23,23,2.23,0.43,phosphatidylinositol-glycan-specific phospholipase D isoform X1 [Monodon monoceros]
63,1,RefSeq_Narwhal,XP_029091729.1,506,56750,14,14,13,13,2.21,0.32,fibrinogen beta chain isoform X2 [Monodon monoceros]
10,2,RefSeq_Narwhal,XP_029097099.1,253,53257,13,13,12,12,2.17,0.4,coagulation factor IX [Monodon monoceros]
55,1,RefSeq_Narwhal,XP_029082867.1,607,59231,22,22,12,12,2.05,0.32,complement C1q subcomponent subunit B [Monodon monoceros]
97,1,RefSeq_Narwhal,XP_029060424.1,194,21040,5,5,5,5,2.04,0.4,ras-related protein Rap-1b [Monodon monoceros]
14,2,RefSeq_Narwhal,XP_029095127.1,825,106789,31,31,23,23,2.03,0.38,inter-alpha-trypsin inhibitor heavy chain H2 isoform X1 [Monodon monoceros]
105,1,RefSeq_Narwhal,XP_029086416.1,174,29737,10,10,5,5,2.03,0.35,C4b-binding protein beta chain isoform X1 [Monodon monoceros]
89,1,RefSeq_Narwhal,XP_029061370.1,224,38974,9,9,9,9,1.97,0.36,lumican [Monodon monoceros]
80,1,RefSeq_Narwhal,XP_029058715.1,306,35557,10,10,8,8,1.89,0.25,complement component C8 gamma chain isoform X1 [Monodon monoceros]
77,1,RefSeq_Narwhal,XP_029074509.1,354,40237,9,9,9,9,1.88,0.47,monocyte differentiation antigen CD14 [Monodon monoceros]
137,1,RefSeq_Narwhal,XP_029089806.1,108,18086,4,4,4,4,1.81,0.3,peptidyl-prolyl cis-trans isomerase A isoform X1 [Monodon monoceros]
112,1,RefSeq_Narwhal,XP_029064746.1,159,18822,4,4,4,4,1.7,0.29,cofilin-1 [Monodon monoceros]
74,1,RefSeq_Narwhal,XP_029095799.1,380,53374,13,13,9,9,1.65,0.33,properdin [Monodon monoceros]
116,1,RefSeq_Narwhal,XP_029082744.1,153,14464,3,3,3,3,1.63,0.38,protein S100-A9-like [Monodon monoceros]
121,1,RefSeq_Narwhal,XP_029098850.1,139,19411,4,4,4,4,1.62,0.41,apolipoprotein M isoform X2 [Monodon monoceros]
100,1,RefSeq_Narwhal,XP_029065334.1,182,15306,4,4,3,3,1.49,0.25,LOW QUALITY PROTEIN: serum amyloid A protein-like [Monodon monoceros]
178,1,RefSeq_Narwhal,XP_029073028.1,66,5050,1,1,1,1,1.45,0.3,thymosin beta-4 [Monodon monoceros]
104,1,RefSeq_Narwhal,XP_029070689.1,174,26378,5,5,5,5,1.43,0.27,adiponectin [Monodon monoceros]
127,1,RefSeq_Narwhal,XP_029070926.1,121,16158,3,3,3,3,1.37,0.35,superoxide dismutase [Cu-Zn] [Monodon monoceros]
82,1,RefSeq_Narwhal,XP_029092234.1,283,50699,10,10,9,9,1.31,0.29,protein Z-dependent protease inhibitor [Monodon monoceros]
151,1,RefSeq_Narwhal,XP_029070470.1,88,24309,5,5,4,4,1.16,0.24,apolipoprotein D [Monodon monoceros]
67,1,RefSeq_Narwhal,XP_029061157.1,433,81471,14,14,12,12,1.13,0.3,fibulin-1 isoform X1 [Monodon monoceros]
53,1,RefSeq_Narwhal,XP_029097698.1,643,100975,21,21,16,16,1.12,0.27,inter-alpha-trypsin inhibitor heavy chain H3 isoform X2 [Monodon monoceros]
99,1,RefSeq_Narwhal,XP_029091752.1,185,51191,8,8,7,7,1.09,0.24,fibrinogen gamma chain isoform X1 [Monodon monoceros]
90,1,RefSeq_Narwhal,XP_029059978.1,211,19239,3,3,3,3,1.08,0.24,lysozyme C [Monodon monoceros]
85,1,RefSeq_Narwhal,XP_029069059.1,245,46378,7,7,7,7,1.04,0.24,pigment epithelium-derived factor isoform X1 [Monodon monoceros]
4,2,RefSeq_Narwhal,XP_029074454.1,614,191829,29,29,28,28,1,0.24,complement C3-like isoform X2 [Monodon monoceros]
202,1,RefSeq_Narwhal,XP_029069855.1,53,13930,2,2,2,2,0.96,0.19,histone H2B type 2-E-like [Monodon monoceros]
110,1,RefSeq_Narwhal,XP_029096025.1,163,50093,7,7,7,7,0.94,0.26,phosphatidylcholine-sterol acyltransferase isoform X1 [Monodon monoceros]
140,1,RefSeq_Narwhal,XP_029072848.1,105,28619,4,4,4,4,0.93,0.19,tropomyosin alpha-4 chain isoform X2 [Monodon monoceros]
102,1,RefSeq_Narwhal,XP_029060673.1,176,36119,5,5,5,5,0.92,0.19,glyceraldehyde-3-phosphate dehydrogenase [Monodon monoceros]
138,1,RefSeq_Narwhal,XP_029072224.1,107,43972,6,6,6,6,0.9,0.13,selenoprotein P isoform X1 [Monodon monoceros]
98,1,RefSeq_Narwhal,XP_029074462.1,191,22145,4,4,3,3,0.88,0.22,peroxiredoxin-2 [Monodon monoceros]
94,1,RefSeq_Narwhal,XP_029093387.1,198,45337,6,6,6,6,0.87,0.25,plasma serine protease inhibitor [Monodon monoceros]
86,1,RefSeq_Narwhal,XP_029095606.1,240,45683,7,7,6,6,0.86,0.19,corticosteroid-binding globulin [Monodon monoceros]
106,1,RefSeq_Narwhal,XP_029081716.1,169,55064,7,7,7,7,0.82,0.21,vitamin K-dependent protein C [Monodon monoceros]
166,1,RefSeq_Narwhal,XP_029090218.1,73,32623,5,5,4,4,0.78,0.13,insulin-like growth factor-binding protein 3 [Monodon monoceros]
75,1,RefSeq_Narwhal,XP_029076667.1,375,92431,11,11,11,11,0.76,0.2,insulin-like growth factor-binding protein complex acid labile subunit [Monodon monoceros]
93,1,RefSeq_Narwhal,XP_029097508.1,199,83343,10,10,10,10,0.76,0.24,coagulation factor XIII A chain [Monodon monoceros]
108,1,RefSeq_Narwhal,XP_029093064.1,165,58476,7,7,7,7,0.76,0.17,pyruvate kinase PKM isoform X1 [Monodon monoceros]
76,1,RefSeq_Narwhal,XP_029086819.1,361,84642,11,11,9,9,0.75,0.17,polymeric immunoglobulin receptor [Monodon monoceros]
146,1,RefSeq_Narwhal,XP_029088328.1,96,42154,5,5,5,5,0.75,0.14,pulmonary surfactant-associated protein B [Monodon monoceros]
96,1,RefSeq_Narwhal,XP_029083180.1,195,77557,11,11,9,9,0.73,0.19,coagulation factor XIII B chain-like [Monodon monoceros]
2,3,RefSeq_Narwhal,XP_029098394.1,124,79991,11,11,9,9,0.7,0.08,lactotransferrin isoform X1 [Monodon monoceros]
65,1,RefSeq_Narwhal,XP_029100746.1,460,117183,13,13,13,13,0.69,0.17,vinculin isoform X1 [Monodon monoceros]
154,1,RefSeq_Narwhal,XP_029074983.1,83,28226,3,3,3,3,0.65,0.23,complement factor D [Monodon monoceros]
123,1,RefSeq_Narwhal,XP_029078762.1,133,28978,3,3,3,3,0.63,0.21,carbonic anhydrase 1 isoform X1 [Monodon monoceros]
131,1,RefSeq_Narwhal,XP_029079084.1,119,29306,3,3,3,3,0.62,0.16,carbonic anhydrase 2 [Monodon monoceros]
115,1,RefSeq_Narwhal,XP_029065711.1,155,70666,7,7,7,7,0.6,0.15,plastin-2 [Monodon monoceros]
192,1,RefSeq_Narwhal,XP_029086432.1,56,20114,2,2,2,2,0.59,0.18,protein/nucleic acid deglycase DJ-1 [Monodon monoceros]
95,1,RefSeq_Narwhal,XP_029091683.1,195,72608,8,8,7,7,0.58,0.16,hepatocyte growth factor activator isoform X2 [Monodon monoceros]
171,1,RefSeq_Narwhal,XP_029062117.1,69,31093,3,3,3,3,0.58,0.15,triosephosphate isomerase [Monodon monoceros]
109,1,RefSeq_Narwhal,XP_029085353.1,164,10184,2,2,1,1,0.57,0.19,protein S100-A6 [Monodon monoceros]
103,1,RefSeq_Narwhal,XP_029066247.1,175,54324,5,5,5,5,0.55,0.14,coagulation factor X isoform X1 [Monodon monoceros]
161,1,RefSeq_Narwhal,XP_029098637.1,79,21385,2,2,2,2,0.55,0.13,histone H1.2 [Monodon monoceros]
233,1,RefSeq_Narwhal,XP_029066498.1,40,10912,1,1,1,1,0.53,0.08,C-C motif chemokine 14-like [Monodon monoceros]
135,1,RefSeq_Narwhal,XP_029085583.1,108,22549,2,2,2,2,0.52,0.13,transgelin-2 [Monodon monoceros]
111,1,RefSeq_Narwhal,XP_029087833.1,161,57254,5,5,5,5,0.51,0.19,EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Monodon monoceros]
193,1,RefSeq_Narwhal,XP_029061127.1,56,22681,2,2,2,2,0.51,0.18,rho GDP-dissociation inhibitor 2 [Monodon monoceros]
79,1,RefSeq_Narwhal,XP_029070288.1,317,83235,9,9,7,7,0.49,0.14,mannan-binding lectin serine protease 1 isoform X1 [Monodon monoceros]
87,1,RefSeq_Narwhal,XP_029087702.1,228,59089,7,7,5,5,0.49,0.14,prenylcysteine oxidase 1 isoform X1 [Monodon monoceros]
101,1,RefSeq_Narwhal,XP_029085258.1,182,47613,4,4,4,4,0.49,0.14,alpha-enolase [Monodon monoceros]
199,1,RefSeq_Narwhal,XP_029078261.1,54,35652,3,3,3,3,0.49,0.16,gamma-glutamyl hydrolase [Monodon monoceros]
203,1,RefSeq_Narwhal,XP_029064693.1,53,23724,2,2,2,2,0.48,0.15,glutathione S-transferase P [Monodon monoceros]
227,1,RefSeq_Narwhal,XP_029091314.1,43,11818,1,1,1,1,0.48,0.1,platelet factor 4-like isoform X1 [Monodon monoceros]
177,1,RefSeq_Narwhal,XP_029059244.1,66,12133,1,1,1,1,0.47,0.12,thioredoxin [Monodon monoceros]
113,1,RefSeq_Narwhal,XP_029070349.1,158,87033,7,7,7,7,0.46,0.11,transferrin receptor protein 1 isoform X1 [Monodon monoceros]
144,1,RefSeq_Narwhal,XP_029100736.1,97,63733,5,5,5,5,0.45,0.13,hyaluronan-binding protein 2 [Monodon monoceros]
130,1,RefSeq_Narwhal,XP_029083746.1,119,38775,3,3,3,3,0.44,0.12,cathepsin S isoform X1 [Monodon monoceros]
266,1,RefSeq_Narwhal,XP_029089370.1,28,13058,1,1,1,1,0.43,0.14,myotrophin [Monodon monoceros]
133,1,RefSeq_Narwhal,XP_029100445.1,112,54372,4,4,4,4,0.42,0.11,carboxypeptidase N catalytic chain isoform X1 [Monodon monoceros]
206,1,RefSeq_Narwhal,XP_029059289.1,46,26762,2,2,2,2,0.42,0.13,"folate receptor alpha-like, partial [Monodon monoceros]"
182,1,RefSeq_Narwhal,XP_029070831.1,63,13655,1,1,1,1,0.41,0.1,beta-2-microglobulin [Monodon monoceros]
122,1,RefSeq_Narwhal,XP_029078496.1,137,27899,2,2,2,2,0.4,0.13,14-3-3 protein zeta/delta [Monodon monoceros]
214,1,RefSeq_Narwhal,XP_029091312.1,48,14094,1,1,1,1,0.39,0.13,platelet basic protein isoform X1 [Monodon monoceros]
169,1,RefSeq_Narwhal,XP_029065335.1,70,14603,1,1,1,1,0.37,0.08,serum amyloid A-2 protein-like [Monodon monoceros]
274,1,RefSeq_Narwhal,XP_029090445.1,23,15058,1,1,1,1,0.36,0.09,alpha-synuclein isoform X1 [Monodon monoceros]
232,1,RefSeq_Narwhal,XP_029067925.1,41,15376,1,1,1,1,0.35,0.06,histone H3.3 [Monodon monoceros]
245,1,RefSeq_Narwhal,XP_029077520.1,35,15742,1,1,1,1,0.34,0.08,"antileukoproteinase-like, partial [Monodon monoceros]"
222,1,RefSeq_Narwhal,XP_029075184.1,45,16354,1,1,1,1,0.33,0.06,cystatin-C-like [Monodon monoceros]
143,1,RefSeq_Narwhal,XP_029098860.1,98,68584,4,4,4,4,0.32,0.12,transketolase [Monodon monoceros]
184,1,RefSeq_Narwhal,XP_029064399.1,62,16827,1,1,1,1,0.32,0.09,calmodulin-3 isoform X2 [Monodon monoceros]
139,1,RefSeq_Narwhal,XP_029081115.1,106,35331,2,2,2,2,0.31,0.07,insulin-like growth factor-binding protein 2 [Monodon monoceros]
168,1,RefSeq_Narwhal,XP_029061878.1,71,34552,2,2,2,2,0.31,0.08,LOW QUALITY PROTEIN: apolipoprotein F [Monodon monoceros]
226,1,RefSeq_Narwhal,XP_029057553.1,43,34431,2,2,2,2,0.31,0.06,mimecan [Monodon monoceros]
230,1,RefSeq_Narwhal,XP_029068532.1,42,17049,1,1,1,1,0.31,0.08,eukaryotic translation initiation factor 5A-1 [Monodon monoceros]
10,3,RefSeq_Narwhal,XP_029082184.1,63,72834,4,4,4,4,0.3,0.09,coagulation factor XI isoform X1 [Monodon monoceros]
125,1,RefSeq_Narwhal,XP_029074398.1,124,74746,4,4,4,4,0.29,0.11,transforming growth factor-beta-induced protein ig-h3 isoform X1 [Monodon monoceros]
148,1,RefSeq_Narwhal,XP_029061159.1,93,36890,2,2,2,2,0.29,0.08,L-lactate dehydrogenase B chain [Monodon monoceros]
221,1,RefSeq_Narwhal,XP_029092112.1,46,18637,1,1,1,1,0.29,0.06,non-secretory ribonuclease [Monodon monoceros]
201,1,RefSeq_Narwhal,XP_029070098.1,53,38089,2,2,2,2,0.28,0.06,T-lymphocyte activation antigen CD86 isoform X1 [Monodon monoceros]
124,1,RefSeq_Narwhal,XP_029069454.1,129,59564,3,3,3,3,0.27,0.08,biotinidase [Monodon monoceros]
136,1,RefSeq_Narwhal,XP_029077124.1,108,58859,3,3,3,3,0.27,0.12,lipopolysaccharide-binding protein isoform X1 [Monodon monoceros]
212,1,RefSeq_Narwhal,XP_029097311.1,48,19707,1,1,1,1,0.27,0.05,tafazzin [Monodon monoceros]
238,1,RefSeq_Narwhal,XP_029071163.1,40,79542,4,4,4,4,0.27,0.05,interleukin-1 receptor accessory protein [Monodon monoceros]
162,1,RefSeq_Narwhal,XP_029091733.1,79,21354,1,1,1,1,0.25,0.1,fibrinogen alpha chain-like [Monodon monoceros]
196,1,RefSeq_Narwhal,XP_029059330.1,55,21324,1,1,1,1,0.25,0.05,beta-lactoglobulin-2-like [Monodon monoceros]
129,1,RefSeq_Narwhal,XP_029084770.1,120,110309,5,5,5,5,0.24,0.07,proteoglycan 4 isoform X1 [Monodon monoceros]
185,1,RefSeq_Narwhal,XP_029085612.1,62,21846,1,1,1,1,0.24,0.06,apolipoprotein R-like isoform X1 [Monodon monoceros]
219,1,RefSeq_Narwhal,XP_029067399.1,47,21893,1,1,1,1,0.24,0.1,"beta-lactoglobulin-1A/1C-like, partial [Monodon monoceros]"
142,1,RefSeq_Narwhal,XP_029096936.1,101,44932,2,2,2,2,0.23,0.06,phosphoglycerate kinase 1 [Monodon monoceros]
147,1,RefSeq_Narwhal,XP_029061188.1,95,114237,5,5,5,5,0.23,0.09,contactin-1 isoform X1 [Monodon monoceros]
148,2,RefSeq_Narwhal,XP_029063018.1,67,46263,2,2,2,2,0.23,0.06,L-lactate dehydrogenase A chain [Monodon monoceros]
153,1,RefSeq_Narwhal,XP_029096561.1,84,45642,2,2,2,2,0.23,0.04,lysosome-associated membrane glycoprotein 2 isoform X1 [Monodon monoceros]
176,1,RefSeq_Narwhal,XP_029100278.1,66,22980,1,1,1,1,0.23,0.07,glutathione peroxidase 1 [Monodon monoceros]
205,1,RefSeq_Narwhal,XP_029057545.1,52,45567,2,2,2,2,0.23,0.07,Golgi membrane protein 1 isoform X1 [Monodon monoceros]
216,1,RefSeq_Narwhal,XP_029084026.1,48,22334,1,1,1,1,0.23,0.06,rho-related GTP-binding protein RhoC [Monodon monoceros]
