Pathway Report generated on: Sat Oct 12 16:59:24 2019
Total number of pathways was: 439 

Identifier	Description	Link	Frequency	Proteins
R-HSA-202733	Cell surface interactions at the vascular wall 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-202733", "R-HSA-202733")	10	APOB_HUMAN; IGLL1_HUMAN; THRB_HUMAN; IGJ_HUMAN; FINC_HUMAN; PROS_HUMAN; PROC_HUMAN; PLF4_HUMAN; LFA3_HUMAN; MERTK_HUMAN
R-HSA-5674135	MAP2K and MAPK activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5674135", "R-HSA-5674135")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6802946", "R-HSA-6802946")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6802948", "R-HSA-6802948")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-6802949	Signaling by RAS mutants 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6802949", "R-HSA-6802949")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-6802952	Signaling by BRAF and RAF fusions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6802952", "R-HSA-6802952")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6802955", "R-HSA-6802955")	10	ACTB_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; VINC_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-975634	Retinoid metabolism and transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-975634", "R-HSA-975634")	9	APOA1_HUMAN; APOA2_HUMAN; APOC2_HUMAN; APOC3_HUMAN; APOA4_HUMAN; RET4_HUMAN; APOB_HUMAN; APOE_HUMAN; APOM_HUMAN
R-HSA-6803157	Antimicrobial peptides 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6803157", "R-HSA-6803157")	9	CLUS_HUMAN; CAMP_HUMAN; CAMP_HUMAN; LYSC_HUMAN; TRFL_HUMAN; BPIA1_HUMAN; ELNE_HUMAN; CMGA_HUMAN; PGRP2_HUMAN
R-HSA-375276	Peptide ligand-binding receptors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-375276", "R-HSA-375276")	8	CO3_HUMAN; THRB_HUMAN; CO5_HUMAN; KNG1_HUMAN; ANGT_HUMAN; CO3_HUMAN; SAP_HUMAN; EDNRB_HUMAN
R-HSA-166663	Initial triggering of complement 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-166663", "R-HSA-166663")	8	CO4B_HUMAN; C1QA_HUMAN; CO2_HUMAN; C1S_HUMAN; C1R_HUMAN; C1QB_HUMAN; MASP1_HUMAN; MASP2_HUMAN
R-HSA-3299685	Detoxification of Reactive Oxygen Species 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3299685", "R-HSA-3299685")	8	GPX3_HUMAN; PRDX1_HUMAN; SODE_HUMAN; SODC_HUMAN; PRDX2_HUMAN; GSTP1_HUMAN; THIO_HUMAN; GPX1_HUMAN
R-HSA-5686938	Regulation of TLR by endogenous ligand 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5686938", "R-HSA-5686938")	8	APOB_HUMAN; FIBA_HUMAN; FIBB_HUMAN; CD14_HUMAN; S10A9_HUMAN; FIBG_HUMAN; LBP_HUMAN; FIBA_HUMAN
R-HSA-166665	Terminal pathway of complement 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-166665", "R-HSA-166665")	8	CO5_HUMAN; CLUS_HUMAN; CO9_HUMAN; CO8B_HUMAN; CO8A_HUMAN; CO7_HUMAN; CO6_HUMAN; CO8G_HUMAN
R-HSA-354192	Integrin alphaIIb beta3 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-354192", "R-HSA-354192")	8	FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-354194", "R-HSA-354194")	8	FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-372708", "R-HSA-372708")	8	FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; RAP1B_HUMAN; FIBG_HUMAN; FIBA_HUMAN; VWF_HUMAN; TLN1_HUMAN
R-HSA-70171	Glycolysis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-70171", "R-HSA-70171")	8	G3P_HUMAN; KPYM_HUMAN; TPIS_HUMAN; ENOA_HUMAN; PGK1_HUMAN; PGAM1_HUMAN; ALDOA_HUMAN; G6PI_HUMAN
R-HSA-2168880	Scavenging of heme from plasma 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2168880", "R-HSA-2168880")	7	ALBU_HUMAN; APOA1_HUMAN; HBB_HUMAN; HPT_HUMAN; HEMO_HUMAN; IGJ_HUMAN; AMBP_HUMAN
R-HSA-8964058	HDL remodeling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8964058", "R-HSA-8964058")	7	ALBU_HUMAN; APOA1_HUMAN; APOC2_HUMAN; APOC3_HUMAN; APOE_HUMAN; LCAT_HUMAN; PLTP_HUMAN
R-HSA-8856828	Clathrin-mediated endocytosis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8856828", "R-HSA-8856828")	7	TRFE_HUMAN; APOB_HUMAN; TRFE_HUMAN; ACTB_HUMAN; TFR1_HUMAN; EGFR_HUMAN; HSP7C_HUMAN
R-HSA-8963888	Chylomicron assembly 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8963888", "R-HSA-8963888")	7	APOA1_HUMAN; APOA2_HUMAN; APOC2_HUMAN; APOC3_HUMAN; APOA4_HUMAN; APOB_HUMAN; APOE_HUMAN
R-HSA-8963901	Chylomicron remodeling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8963901", "R-HSA-8963901")	7	APOA1_HUMAN; APOA2_HUMAN; APOC2_HUMAN; APOC3_HUMAN; APOA4_HUMAN; APOB_HUMAN; APOE_HUMAN
R-HSA-1474228	Degradation of the extracellular matrix 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1474228", "R-HSA-1474228")	7	A2MG_HUMAN; PLMN_HUMAN; A2MG_HUMAN; FINC_HUMAN; CATS_HUMAN; ELNE_HUMAN; LAMB1_HUMAN
R-HSA-174577	Activation of C3 and C5 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-174577", "R-HSA-174577")	7	CO3_HUMAN; CO4B_HUMAN; CFAB_HUMAN; CO5_HUMAN; CO2_HUMAN; PROP_HUMAN; CO3_HUMAN
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6785807", "R-HSA-6785807")	7	FINC_HUMAN; SAA1_HUMAN; F13A_HUMAN; SAA1_HUMAN; LBP_HUMAN; ICAM1_HUMAN; HSP7C_HUMAN
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8950505", "R-HSA-8950505")	7	RAP1B_HUMAN; PPIA_HUMAN; COF1_HUMAN; SODC_HUMAN; CAH1_HUMAN; PLSL_HUMAN; MOES_HUMAN
R-HSA-70263	Gluconeogenesis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-70263", "R-HSA-70263")	7	G3P_HUMAN; TPIS_HUMAN; ENOA_HUMAN; PGK1_HUMAN; PGAM1_HUMAN; ALDOA_HUMAN; G6PI_HUMAN
R-HSA-3000178	ECM proteoglycans 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3000178", "R-HSA-3000178")	6	VTNC_HUMAN; FINC_HUMAN; LUM_HUMAN; COMP_HUMAN; TENA_HUMAN; LAMB1_HUMAN
R-HSA-159740	Gamma-carboxylation of protein precursors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-159740", "R-HSA-159740")	6	THRB_HUMAN; PROS_HUMAN; FA9_HUMAN; PROC_HUMAN; FA10_HUMAN; FA7_HUMAN
R-HSA-159763	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-159763", "R-HSA-159763")	6	THRB_HUMAN; PROS_HUMAN; FA9_HUMAN; PROC_HUMAN; FA10_HUMAN; FA7_HUMAN
R-HSA-159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-159782", "R-HSA-159782")	6	THRB_HUMAN; PROS_HUMAN; FA9_HUMAN; PROC_HUMAN; FA10_HUMAN; FA7_HUMAN
R-HSA-416476	G alpha (q) signalling events 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-416476", "R-HSA-416476")	6	THRB_HUMAN; KNG1_HUMAN; ANGT_HUMAN; SAA1_HUMAN; SAA1_HUMAN; EDNRB_HUMAN
R-HSA-5663220	RHO GTPases Activate Formins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5663220", "R-HSA-5663220")	6	ACTB_HUMAN; PROF1_HUMAN; RHOC_HUMAN; SKA1_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8856825", "R-HSA-8856825")	5	TRFE_HUMAN; APOB_HUMAN; TRFE_HUMAN; TFR1_HUMAN; EGFR_HUMAN
R-HSA-194840	Rho GTPase cycle 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-194840", "R-HSA-194840")	5	A2MG_HUMAN; A2MG_HUMAN; GDIR2_HUMAN; RHOC_HUMAN; AKP13_HUMAN
R-HSA-173736	Alternative complement activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-173736", "R-HSA-173736")	5	CO3_HUMAN; CFAB_HUMAN; PROP_HUMAN; CO3_HUMAN; CFAD_HUMAN
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-198933", "R-HSA-198933")	5	CO3_HUMAN; CO3_HUMAN; B2MG_HUMAN; NECT2_HUMAN; ICAM1_HUMAN
R-HSA-3000170	Syndecan interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3000170", "R-HSA-3000170")	5	VTNC_HUMAN; FINC_HUMAN; TSP1_HUMAN; TENA_HUMAN; ACTN1_HUMAN
R-HSA-5628897	TP53 Regulates Metabolic Genes 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5628897", "R-HSA-5628897")	5	PRDX1_HUMAN; PRDX2_HUMAN; THIO_HUMAN; 1433Z_HUMAN; G6PI_HUMAN
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8936459", "R-HSA-8936459")	5	H2B2E_HUMAN; PLF4_HUMAN; H33_HUMAN; TSP1_HUMAN; GP1BA_HUMAN
R-HSA-445355	Smooth Muscle Contraction 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-445355", "R-HSA-445355")	5	TPM4_HUMAN; VINC_HUMAN; TPM4_HUMAN; TLN1_HUMAN; CALD1_HUMAN
R-HSA-6807878	COPI-mediated anterograde transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6807878", "R-HSA-6807878")	5	FOLR1_HUMAN; ARF3_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN; DAF_HUMAN
R-HSA-2467813	Separation of Sister Chromatids 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2467813", "R-HSA-2467813")	5	PSA2_HUMAN; PSMA8_HUMAN; SKA1_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-3000471	Scavenging by Class B Receptors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3000471", "R-HSA-3000471")	4	APOA1_HUMAN; APOB_HUMAN; SAA1_HUMAN; SAA1_HUMAN
R-HSA-3000480	Scavenging by Class A Receptors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-3000480", "R-HSA-3000480")	4	APOA1_HUMAN; APOB_HUMAN; APOE_HUMAN; MASP1_HUMAN
R-HSA-204005	COPII-mediated vesicle transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-204005", "R-HSA-204005")	4	A1AT_HUMAN; FOLR1_HUMAN; CATC_HUMAN; FA5_HUMAN
R-HSA-5694530	Cargo concentration in the ER 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5694530", "R-HSA-5694530")	4	A1AT_HUMAN; FOLR1_HUMAN; CATC_HUMAN; FA5_HUMAN
R-HSA-2129379	Molecules associated with elastic fibres 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2129379", "R-HSA-2129379")	4	VTNC_HUMAN; FINC_HUMAN; FBLN1_HUMAN; FBLN3_HUMAN
R-HSA-173623	Classical antibody-mediated complement activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-173623", "R-HSA-173623")	4	C1QA_HUMAN; C1S_HUMAN; C1R_HUMAN; C1QB_HUMAN
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1445148", "R-HSA-1445148")	4	ACTB_HUMAN; 1433Z_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-437239	Recycling pathway of L1 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-437239", "R-HSA-437239")	4	ACTB_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN; MOES_HUMAN
R-HSA-5626467	RHO GTPases activate IQGAPs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5626467", "R-HSA-5626467")	4	ACTB_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN; IQGA2_HUMAN
R-HSA-1236974	ER-Phagosome pathway 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1236974", "R-HSA-1236974")	4	CD14_HUMAN; B2MG_HUMAN; PSA2_HUMAN; PSMA8_HUMAN
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8939236", "R-HSA-8939236")	4	H2B2E_HUMAN; H33_HUMAN; PSA2_HUMAN; PSMA8_HUMAN
R-HSA-2132295	MHC class II antigen presentation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-2132295", "R-HSA-2132295")	4	CATS_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN; CATC_HUMAN
R-HSA-430116	GP1b-IX-V activation signalling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-430116", "R-HSA-430116")	4	1433Z_HUMAN; VWF_HUMAN; GP1BA_HUMAN; FLNA_HUMAN
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8852276", "R-HSA-8852276")	4	PSA2_HUMAN; PSMA8_HUMAN; TBA1B_HUMAN; TBB4B_HUMAN
R-HSA-917937	Iron uptake and transport 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-917937", "R-HSA-917937")	3	TRFE_HUMAN; CERU_HUMAN; TRFE_HUMAN
R-HSA-917977	Transferrin endocytosis and recycling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-917977", "R-HSA-917977")	3	TRFE_HUMAN; TRFE_HUMAN; TFR1_HUMAN
R-HSA-1989781	PPARA activates gene expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1989781", "R-HSA-1989781")	3	APOA1_HUMAN; APOA2_HUMAN; ANGT_HUMAN
R-HSA-8963896	HDL assembly 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8963896", "R-HSA-8963896")	3	APOA1_HUMAN; A2MG_HUMAN; A2MG_HUMAN
R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1237044", "R-HSA-1237044")	3	HBB_HUMAN; CAH1_HUMAN; CAH2_HUMAN
R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-1247673", "R-HSA-1247673")	3	HBB_HUMAN; CAH1_HUMAN; CAH2_HUMAN
R-HSA-9613829	Chaperone Mediated Autophagy 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-9613829", "R-HSA-9613829")	3	HBB_HUMAN; LAMP2_HUMAN; HSP7C_HUMAN
R-HSA-983231	Factors involved in megakaryocyte development and platelet production 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-983231", "R-HSA-983231")	3	HBB_HUMAN; ACTB_HUMAN; H33_HUMAN
R-HSA-186797	Signaling by PDGF 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-186797", "R-HSA-186797")	3	PLMN_HUMAN; TSP4_HUMAN; TSP1_HUMAN
R-HSA-76009	Platelet Aggregation (Plug Formation) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-76009", "R-HSA-76009")	3	THRB_HUMAN; VWF_HUMAN; GP1BA_HUMAN
R-HSA-418990	Adherens junctions interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-418990", "R-HSA-418990")	3	ACTB_HUMAN; CADH5_HUMAN; NECT2_HUMAN
R-HSA-446353	Cell-extracellular matrix interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-446353", "R-HSA-446353")	3	ACTB_HUMAN; VASP_HUMAN; FLNA_HUMAN
R-HSA-5250924	B-WICH complex positively regulates rRNA expression 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5250924", "R-HSA-5250924")	3	ACTB_HUMAN; H2B2E_HUMAN; H33_HUMAN
R-HSA-5689603	UCH proteinases 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-5689603", "R-HSA-5689603")	3	ACTB_HUMAN; PSA2_HUMAN; PSMA8_HUMAN
R-HSA-376176	Signaling by ROBO receptors 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-376176", "R-HSA-376176")	3	PROF1_HUMAN; VASP_HUMAN; NRP1_HUMAN
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-445989", "R-HSA-445989")	3	S10AC_HUMAN; SAA1_HUMAN; SAA1_HUMAN
R-HSA-879415	Advanced glycosylation endproduct receptor signaling 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-879415", "R-HSA-879415")	3	S10AC_HUMAN; SAA1_HUMAN; SAA1_HUMAN
R-HSA-933542	TRAF6 mediated NF-kB activation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-933542", "R-HSA-933542")	3	S10AC_HUMAN; SAA1_HUMAN; SAA1_HUMAN
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-163125", "R-HSA-163125")	3	PHLD_HUMAN; LYPD3_HUMAN; VNN1_HUMAN
R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-140834", "R-HSA-140834")	3	FA9_HUMAN; FA10_HUMAN; FA7_HUMAN
